Идентификатор,Код станции,Код первого транзитного пункта,Расстояние до первого транзитного пункта (км),Код второго транзитного пункта,Расстояние до второго транзитного пункта (км),Код третьего транзитного пункта,Расстояние до третьего транзитного пункта (км),Код четвертого узловой станции,Расстояние до четвертого транзитного пункта (км),Тип коррекции,Дата начала действия,Время обновления
740,683795,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
741,684016,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
742,683973,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
743,683969,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
744,683954,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
745,683944,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
746,683935,0,0,0,0,0,0,0,0,U,14.11.2018,16.11.2018 18:58
747,683920,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
748,683899,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
749,683884,0,0,0,0,0,0,0,0,U,01.06.2018,06.07.2018 15:20
750,684035,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
751,684073,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
752,684088,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
753,684092,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
754,684232,0,0,0,0,0,0,0,0,U,01.06.2018,01.06.2018 16:13
755,684247,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
756,684251,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
757,684266,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
758,684270,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
759,684292,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
760,684321,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
761,684336,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
762,684340,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
763,684355,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
764,684369,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
765,684374,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
766,684389,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
767,684393,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
768,684425,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
769,684435,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
770,684459,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
771,684463,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
772,684478,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
773,684482,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:20
774,684497,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
775,684514,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
776,684754,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
777,684745,0,0,0,0,0,0,0,0,U,02.11.2020,12.11.2020 15:10
778,684730,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
779,684726,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
780,684694,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
781,684688,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
782,684675,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
783,684660,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:24
784,684656,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:24
785,684622,0,0,0,0,0,0,0,0,U,01.06.2018,01.06.2018 16:13
786,684618,0,0,0,0,0,0,0,0,U,01.06.2018,06.07.2018 15:20
787,684590,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:24
788,684586,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
789,684571,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
790,684567,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
791,684552,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 12:46
792,681516,0,0,0,0,0,0,0,0,U,01.06.2018,05.07.2018 17:13
793,681520,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:24
794,681535,0,0,0,0,0,0,0,0,U,01.06.2018,05.07.2018 17:13
795,681543,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:24
796,681554,0,0,0,0,0,0,0,0,U,01.06.2018,05.07.2018 17:13
797,680960,0,0,0,0,0,0,0,0,I,15.12.2017,19.12.2017 08:24
798,680975,0,0,0,0,0,0,0,0,U,14.11.2018,16.11.2018 18:58
799,680994,0,0,0,0,0,0,0,0,U,14.11.2018,16.11.2018 18:58
800,683155,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 10:27
801,683163,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
802,683174,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
803,683189,0,0,0,0,0,0,0,0,U,15.11.2018,21.11.2018 16:53
804,683193,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
805,683225,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
806,683230,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
807,683314,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
808,683329,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
809,683333,0,0,0,0,0,0,0,0,U,15.11.2018,21.11.2018 16:53
810,683348,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
811,683352,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
812,683367,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
813,683386,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
814,683390,0,0,0,0,0,0,0,0,U,15.11.2018,21.11.2018 16:53
815,683441,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
816,683456,0,0,0,0,0,0,0,0,U,15.11.2018,21.11.2018 16:53
817,683460,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
818,683526,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
819,683530,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
820,683625,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
821,683634,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
822,683649,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
823,683691,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
824,683719,0,0,0,0,0,0,0,0,U,02.05.2018,11.05.2018 11:09
825,683723,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
826,683742,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
827,683757,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
828,683812,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
829,683827,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
830,683831,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
831,683850,0,0,0,0,0,0,0,0,U,15.11.2018,21.11.2018 16:53
832,683865,0,0,0,0,0,0,0,0,U,07.08.2018,10.08.2018 12:20
833,683878,0,0,0,0,0,0,0,0,I,15.12.2017,26.12.2017 12:35
834,713346,0,0,0,0,0,0,0,0,U,15.11.2018,21.11.2018 16:53
835,713365,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
836,713384,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
837,713444,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
838,713469,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
839,713488,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
840,713558,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
841,712536,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
842,712634,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
843,713736,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
844,713755,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
845,713763,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
846,713774,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
847,713789,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
848,713793,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
849,713878,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
850,713882,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
851,713914,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
852,713929,0,0,0,0,0,0,0,0,I,01.01.2018,29.12.2017 16:44
853,704690,0,0,0,0,0,0,0,0,I,01.12.2017,01.02.2018 13:00
854,704686,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
855,704671,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
856,704667,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
857,704652,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
858,704648,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
859,704633,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
860,704629,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
861,704614,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
862,705547,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
863,705532,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
864,705227,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
865,704953,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
866,704949,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
867,704934,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
868,706427,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
869,704544,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
870,704559,0,0,0,0,0,0,0,0,I,01.12.2017,01.02.2018 13:00
871,704563,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
872,704578,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
873,707487,0,0,0,0,0,0,0,0,I,01.12.2017,01.02.2018 13:00
874,705960,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
875,705956,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
876,705941,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
877,705937,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
878,704436,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
879,704421,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
880,704417,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
881,699628,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
882,699632,0,0,0,0,0,0,0,0,U,27.09.2018,01.10.2018 17:21
883,693411,0,0,0,0,0,0,0,0,I,01.12.2017,01.02.2018 13:00
884,694022,0,0,0,0,0,0,0,0,I,01.12.2017,01.02.2018 13:00
885,665049,0,0,0,0,0,0,0,0,U,30.01.2018,01.02.2018 13:29
886,665072,0,0,0,0,0,0,0,0,U,01.05.2018,28.04.2018 13:07
887,665227,0,0,0,0,0,0,0,0,U,01.05.2018,28.04.2018 13:07
888,661175,0,0,0,0,0,0,0,0,I,01.12.2017,01.02.2018 13:10
889,664987,0,0,0,0,0,0,0,0,I,30.01.2018,01.02.2018 13:29
890,673350,0,0,0,0,0,0,0,0,U,07.04.2021,07.04.2021 09:26
891,690854,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
892,690849,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
893,690820,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
894,690816,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
895,690784,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
896,690772,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
897,690750,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
898,690746,0,0,0,0,0,0,0,0,I,15.04.2018,16.04.2018 12:16
899,703325,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
900,703429,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
901,703541,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
902,703645,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
903,703664,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
904,703344,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
905,703433,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
906,703467,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
907,703594,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
908,703683,0,0,0,0,0,0,0,0,I,01.05.2018,28.04.2018 12:27
909,680956,0,0,0,0,0,0,0,0,U,02.06.2020,05.06.2020 13:44
910,692535,0,0,0,0,0,0,0,0,I,01.07.2018,03.07.2018 15:14
911,675426,0,0,0,0,0,0,0,0,I,01.07.2018,03.07.2018 15:14
912,714033,0,0,0,0,0,0,0,0,I,01.07.2018,03.07.2018 15:14
913,711622,0,0,0,0,0,0,0,0,I,01.07.2018,03.07.2018 15:14
914,683437,0,0,0,0,0,0,0,0,I,14.11.2018,16.11.2018 18:58
915,681427,0,0,0,0,0,0,0,0,I,02.06.2020,05.06.2020 14:53
916,681446,0,0,0,0,0,0,0,0,I,02.06.2020,11.06.2020 07:54
917,681465,0,0,0,0,0,0,0,0,I,02.06.2020,11.06.2020 08:10
918,681484,0,0,0,0,0,0,0,0,I,02.06.2020,11.06.2020 08:14
919,681499,683102,5,680000,283,684001,93,0,0,U,30.12.2020,30.12.2020 17:46
920,680104,693405,50,0,0,0,0,0,0,I,11.07.2025,10.07.2025 10:01
921,689409,663503,0,0,0,0,0,0,0,U,25.07.2019,20.08.2019 13:35
922,689202,663503,0,0,0,0,0,0,0,U,25.07.2019,20.08.2019 13:35
923,689503,660007,94,666501,195,0,0,0,0,U,01.12.2015,10.12.2015 14:05
924,689607,660007,89,666501,200,0,0,0,0,I,03.11.2015,03.11.2015 17:57
925,660312,660007,46,661103,346,0,0,0,0,I,01.05.2018,28.04.2018 12:27
926,702801,660007,294,661103,98,0,0,0,0,U,23.09.2024,20.09.2024 11:19
927,660844,660007,318,661103,74,0,0,0,0,U,28.11.2012,29.11.2012 18:31
928,660859,660007,333,661103,59,0,0,0,0,U,28.11.2012,29.11.2012 18:30
929,661003,660007,354,661103,38,0,0,0,0,U,28.11.2012,29.11.2012 18:30
930,661014,660007,377,661103,15,0,0,0,0,U,15.05.2018,05.07.2018 10:44
931,663404,663503,0,0,0,0,0,0,0,U,25.07.2019,20.08.2019 13:34
932,663804,663503,0,0,0,0,0,0,0,U,25.07.2019,20.08.2019 13:34
933,667612,660007,161,666501,128,0,0,0,0,U,29.05.2013,29.05.2013 17:20
934,660030,660007,6,661103,386,0,0,0,0,U,01.05.2018,28.04.2018 12:27
935,660204,660007,19,661103,373,0,0,0,0,U,28.11.2012,29.11.2012 18:31
936,660308,660007,31,661103,361,0,0,0,0,U,28.11.2012,29.11.2012 18:31
937,660327,660007,62,661103,330,0,0,0,0,U,25.07.2019,22.08.2019 12:27
938,660401,660007,77,661103,315,0,0,0,0,U,19.03.2013,19.03.2013 11:04
939,660492,660007,102,661103,290,0,0,0,0,U,07.02.2014,13.01.2019 00:00
940,667006,660007,134,666501,155,0,0,0,0,U,08.04.2022,08.04.2022 09:47
941,667106,660007,280,666501,9,0,0,0,0,U,29.05.2013,29.05.2013 17:07
942,667203,660007,263,666501,26,0,0,0,0,U,29.05.2013,29.05.2013 17:09
943,667222,660007,246,666501,43,0,0,0,0,U,29.05.2013,29.05.2013 17:10
944,667307,660007,239,666501,50,0,0,0,0,U,29.05.2013,29.05.2013 17:11
945,667311,660007,232,666501,57,0,0,0,0,U,29.05.2013,29.05.2013 17:12
946,667326,660007,224,666501,65,0,0,0,0,U,29.05.2013,29.05.2013 17:13
947,667400,660007,215,666501,74,0,0,0,0,U,29.05.2013,29.05.2013 17:14
948,667425,660007,201,666501,88,0,0,0,0,U,29.05.2013,29.05.2013 17:15
949,667519,660007,184,666501,105,0,0,0,0,U,29.05.2013,29.05.2013 17:17
950,667523,660007,176,666501,113,0,0,0,0,U,29.05.2013,29.05.2013 17:18
951,667608,660007,169,666501,120,0,0,0,0,U,29.05.2013,29.05.2013 17:19
952,667701,660007,143,666501,146,0,0,0,0,U,29.05.2013,29.05.2013 17:21
953,667720,660007,127,666501,162,0,0,0,0,U,29.05.2013,29.05.2013 17:21
954,667913,660007,84,666501,205,0,0,0,0,U,14.11.2018,16.11.2018 18:58
955,668102,660007,66,666501,223,0,0,0,0,U,29.05.2013,29.05.2013 17:25
956,668301,660007,50,666501,239,0,0,0,0,U,29.05.2013,29.05.2013 17:25
957,668403,660007,40,666501,249,0,0,0,0,U,29.05.2013,29.05.2013 17:26
958,668507,660007,22,666501,267,0,0,0,0,U,29.05.2013,29.05.2013 17:27
959,668511,660007,9,666501,280,0,0,0,0,U,29.05.2013,29.05.2013 17:28
960,685907,685707,32,685803,138,0,0,0,0,U,10.07.2013,10.07.2013 11:36
961,686007,685707,50,685803,120,0,0,0,0,U,09.01.2024,08.01.2024 11:35
962,686100,685707,66,685803,104,0,0,0,0,U,08.11.2023,03.11.2023 06:29
963,686204,685707,98,685803,72,0,0,0,0,U,08.11.2023,03.11.2023 06:28
964,686308,685707,123,685803,47,0,0,0,0,U,09.01.2024,08.01.2024 11:39
965,686401,685707,148,685803,22,0,0,0,0,U,06.03.2013,07.03.2013 10:50
966,687300,685707,160,685803,10,0,0,0,0,U,28.11.2012,29.11.2012 19:36
967,697406,710600,0,0,0,0,0,0,0,U,25.07.2019,28.08.2019 13:22
968,711209,709406,92,711302,27,0,0,0,0,U,03.04.2014,03.04.2014 15:17
969,711393,709406,67,711302,52,0,0,0,0,U,20.07.2017,02.08.2017 10:38
970,711505,709406,48,711302,71,0,0,0,0,U,29.05.2013,29.05.2013 10:45
971,709508,709406,10,0,0,0,0,0,0,U,25.07.2019,27.08.2019 08:42
972,709514,709406,23,711302,96,0,0,0,0,U,25.07.2019,21.08.2019 13:42
973,660505,660007,85,661103,307,0,0,0,0,U,28.11.2012,29.11.2012 18:31
974,660512,660007,118,661103,274,0,0,0,0,U,25.07.2019,23.08.2019 07:42
975,660539,660007,141,661103,251,0,0,0,0,U,07.02.2014,13.01.2019 00:00
976,660609,660007,157,661103,235,0,0,0,0,U,05.10.2017,17.10.2017 09:36
977,689700,660007,188,661103,204,0,0,0,0,U,25.07.2019,22.08.2019 06:39
978,660632,660007,202,661103,190,0,0,0,0,U,14.11.2018,16.11.2018 18:58
979,660717,660007,236,661103,156,0,0,0,0,U,04.05.2018,13.01.2019 00:00
980,660806,660007,255,661103,137,0,0,0,0,U,28.11.2012,29.11.2012 18:31
981,660810,660007,265,661103,127,0,0,0,0,U,15.05.2018,13.01.2019 00:00
982,660825,660007,279,661103,113,0,0,0,0,U,28.11.2012,13.01.2019 00:00
983,669919,669904,9,670102,156,0,0,0,0,U,25.07.2019,28.08.2019 13:06
984,669938,669904,29,670102,136,0,0,0,0,U,25.07.2019,23.08.2019 08:15
985,669942,669904,38,670102,127,0,0,0,0,U,25.07.2019,23.08.2019 07:42
986,669961,669904,57,670102,108,0,0,0,0,U,25.07.2019,22.08.2019 11:58
987,669976,669904,68,670102,97,0,0,0,0,U,25.07.2019,28.08.2019 07:58
988,670009,669904,85,670102,80,0,0,0,0,U,25.07.2019,28.08.2019 06:52
989,670013,669904,94,670102,71,0,0,0,0,U,25.07.2019,28.08.2019 13:51
990,670047,669904,114,670102,51,0,0,0,0,U,25.07.2019,23.08.2019 07:02
991,670051,669904,124,670102,41,0,0,0,0,U,25.07.2019,16.08.2019 12:58
992,670070,669904,139,670102,26,0,0,0,0,U,25.07.2019,28.08.2019 13:55
993,670090,669904,155,670102,10,0,0,0,0,U,25.07.2019,23.08.2019 09:35
994,694709,694605,6,693405,166,0,0,0,0,U,25.07.2019,21.08.2019 13:47
995,694802,694605,29,693405,189,0,0,0,0,U,25.07.2019,21.08.2019 13:49
996,700100,700007,9,0,0,0,0,0,0,U,01.04.2018,02.04.2018 17:44
997,694304,694605,47,693405,207,0,0,0,0,U,25.07.2019,21.08.2019 13:50
998,689908,687008,290,690002,6,0,0,0,0,U,25.02.2021,25.02.2021 13:29
999,692402,687008,264,690002,32,0,0,0,0,U,08.11.2023,03.11.2023 06:37
1000,692506,687008,229,690002,67,0,0,0,0,U,28.11.2012,09.07.2014 11:56
1001,692601,687008,191,690002,105,0,0,0,0,U,25.07.2019,16.08.2019 13:05
1002,692703,687008,150,690002,146,0,0,0,0,U,28.11.2012,29.11.2012 18:28
1003,692807,687008,108,690002,188,0,0,0,0,U,07.03.2024,06.03.2024 16:07
1004,692900,687008,88,690002,208,0,0,0,0,U,08.11.2023,03.11.2023 06:30
1005,693000,687008,70,690002,226,0,0,0,0,U,20.09.2021,20.09.2021 08:06
1006,693104,687008,38,690002,258,0,0,0,0,U,08.11.2023,03.11.2023 06:27
1007,702905,704101,0,0,0,0,0,0,0,U,25.07.2019,26.08.2019 10:20
1008,704008,704101,24,0,0,0,0,0,0,U,25.07.2019,22.08.2019 07:31
1009,704506,706304,117,704402,0,0,0,0,0,U,01.07.2021,17.06.2021 10:47
1010,697001,704101,5,0,0,0,0,0,0,U,25.07.2019,26.08.2019 09:38
1011,706408,706304,177,0,0,0,0,0,0,U,25.07.2019,22.08.2019 06:34
1012,706412,706304,152,0,0,0,0,0,0,U,25.07.2019,28.08.2019 13:22
1013,706431,706304,110,0,0,0,0,0,0,U,25.07.2019,16.08.2019 13:20
1014,706501,706304,123,0,0,0,0,0,0,U,25.07.2019,20.08.2019 08:40
1015,706605,706304,90,0,0,0,0,0,0,U,25.07.2019,23.08.2019 06:35
1016,706616,706304,80,0,0,0,0,0,0,U,25.07.2019,27.08.2019 15:02
1017,706709,706304,32,0,0,0,0,0,0,U,25.02.2021,25.02.2021 14:05
1018,706747,706304,52,0,0,0,0,0,0,U,25.02.2021,25.02.2021 14:07
1019,706802,706304,123,0,0,0,0,0,0,U,25.07.2019,27.08.2019 08:51
1020,706906,706304,13,0,0,0,0,0,0,U,16.10.2024,15.10.2024 13:13
1021,707006,706304,9,0,0,0,0,0,0,U,25.07.2019,20.08.2019 08:43
1022,707107,706304,10,704402,107,0,0,0,0,U,25.07.2019,27.08.2019 08:54
1023,707203,706304,20,704402,97,0,0,0,0,U,25.07.2019,28.08.2019 13:04
1024,707307,706304,39,704402,78,0,0,0,0,U,25.07.2019,19.08.2019 07:04
1025,707400,706304,64,704402,53,0,0,0,0,U,25.02.2021,25.02.2021 14:17
1026,707504,706304,83,704402,34,0,0,0,0,U,25.07.2019,26.08.2019 09:41
1027,663132,662801,238,663306,166,0,0,0,0,U,19.11.2024,18.11.2024 14:01
1028,662708,662801,52,662905,27,0,0,0,0,U,25.07.2019,16.08.2019 13:01
1029,662712,662801,28,662905,51,0,0,0,0,U,25.07.2019,23.08.2019 07:48
1030,662913,662801,77,662905,2,0,0,0,0,U,25.07.2019,26.08.2019 12:20
1031,663005,662801,80,663306,324,0,0,0,0,U,25.07.2019,28.08.2019 12:44
1032,663019,662801,32,663306,372,0,0,0,0,U,25.07.2019,26.08.2019 15:03
1033,663109,662801,178,663306,226,0,0,0,0,U,08.11.2024,07.11.2024 12:38
1034,663128,662801,224,663306,180,0,0,0,0,U,25.07.2019,26.08.2019 09:42
1035,663151,662801,278,663306,126,0,0,0,0,U,25.07.2019,26.08.2019 13:13
1036,663202,662801,312,663306,92,0,0,0,0,U,20.09.2021,20.09.2021 08:05
1037,663221,662801,351,663306,53,0,0,0,0,U,25.07.2019,26.08.2019 14:52
1038,663236,662801,394,663306,10,0,0,0,0,U,25.07.2019,27.08.2019 15:01
1039,664008,662801,15,663306,389,0,0,0,0,U,19.11.2024,18.11.2024 14:00
1040,664402,662801,128,663306,276,0,0,0,0,U,25.07.2019,27.08.2019 07:15
1041,665706,662801,104,663306,300,0,0,0,0,U,25.07.2019,27.08.2019 07:08
1042,665805,662801,298,663306,106,0,0,0,0,U,25.07.2019,26.08.2019 14:23
1043,671105,676700,693,670102,19,0,0,0,0,U,25.07.2019,26.08.2019 15:00
1044,671209,676700,674,670102,38,0,0,0,0,U,25.07.2019,23.08.2019 07:02
1045,671603,676700,631,670102,81,0,0,0,0,U,25.07.2019,26.08.2019 14:58
1046,672907,676700,616,670102,96,0,0,0,0,U,25.07.2019,16.08.2019 12:36
1047,673100,676700,596,670102,116,0,0,0,0,U,25.07.2019,26.08.2019 14:54
1048,674809,676700,576,670102,136,0,0,0,0,U,25.07.2019,26.08.2019 14:51
1049,675106,676700,555,670102,157,0,0,0,0,U,25.07.2019,26.08.2019 14:25
1050,675604,676700,537,670102,175,0,0,0,0,U,25.07.2019,26.08.2019 14:24
1051,700909,700505,94,708009,420,708507,727,0,0,U,02.08.2021,02.08.2021 14:21
1052,676607,676700,517,670102,195,0,0,0,0,U,25.02.2021,25.02.2021 13:51
1053,676804,676700,44,670102,668,0,0,0,0,U,25.07.2019,28.08.2019 09:00
1054,676819,676700,88,670102,624,0,0,0,0,U,25.07.2019,28.08.2019 06:47
1055,676823,676700,112,670102,600,0,0,0,0,U,25.07.2019,20.08.2019 07:23
1056,676908,676700,496,670102,216,0,0,0,0,U,25.07.2019,26.08.2019 13:14
1057,677008,676700,164,670102,548,0,0,0,0,U,09.01.2024,08.01.2024 11:46
1058,677101,676700,476,670102,236,0,0,0,0,U,25.07.2019,26.08.2019 13:12
1059,677402,676700,457,670102,255,0,0,0,0,U,25.07.2019,26.08.2019 13:10
1060,678000,676700,438,670102,274,0,0,0,0,U,25.07.2019,23.08.2019 08:27
1061,678104,676700,410,670102,302,0,0,0,0,U,25.07.2019,27.08.2019 07:22
1062,678208,676700,385,670102,327,0,0,0,0,U,25.07.2019,27.08.2019 07:19
1063,678509,676700,360,670102,352,0,0,0,0,U,25.07.2019,23.08.2019 08:03
1064,678602,676700,340,670102,372,0,0,0,0,U,25.07.2019,27.08.2019 07:11
1065,678706,676700,322,670102,390,0,0,0,0,U,25.07.2019,27.08.2019 07:09
1066,678802,676700,302,670102,410,0,0,0,0,U,25.07.2019,19.08.2019 12:35
1067,679200,676700,266,670102,446,0,0,0,0,U,25.07.2019,26.08.2019 15:08
1068,679304,676700,242,670102,470,0,0,0,0,U,25.07.2019,23.08.2019 07:04
