Идентификатор,Код начального транзитного пункта,Код конечного транзитного пункта,"Транзитное расстояние от начального транзитного пункта до конечного транзитного пункта, (км)",Время обновления,Тип коррекции,Дата начала действия
694,663306,685803,2238,25.07.2019 09:29,I,25.07.2019
695,663306,675905,2034,25.07.2019 09:29,I,25.07.2019
696,663306,709302,3139,25.07.2019 09:29,I,25.07.2019
697,663306,680000,2037,25.07.2019 09:29,I,25.07.2019
698,663306,693405,2511,25.07.2019 09:29,I,25.07.2019
699,663306,708507,3082,06.05.2021 09:42,U,06.05.2021
700,663306,664703,326,25.07.2019 09:29,I,25.07.2019
701,663306,704703,2485,25.07.2019 09:29,I,25.07.2019
702,663306,698004,1963,25.07.2019 09:29,I,25.07.2019
703,663306,708009,2773,25.07.2019 09:29,I,25.07.2019
704,663306,709105,3125,25.07.2019 13:54,I,25.07.2019
705,663306,683102,1749,25.07.2019 13:43,I,25.07.2019
706,663306,670102,1068,25.07.2019 13:02,I,25.07.2019
707,663306,713007,3288,25.07.2019 12:56,I,25.07.2019
708,663306,713806,3276,25.07.2019 09:40,I,25.07.2019
709,663306,690200,2384,25.07.2019 09:29,I,25.07.2019
710,663306,664900,1766,25.07.2019 09:29,I,25.07.2019
711,663306,688708,2451,25.07.2019 09:29,I,25.07.2019
712,663306,690002,2396,25.07.2019 09:29,I,25.07.2019
713,663306,677309,2249,25.07.2019 09:29,I,25.07.2019
714,663306,704402,2362,25.07.2019 09:29,I,25.07.2019
715,663306,711302,3263,25.07.2019 09:29,I,25.07.2019
716,663306,691607,73,07.09.2023 09:31,U,08.09.2023
717,663306,684001,1845,25.07.2019 09:29,I,25.07.2019
718,663306,673905,2155,25.07.2019 09:29,I,25.07.2019
719,661103,690200,1721,23.07.2014 09:40,I,01.11.2012
720,661103,709105,2584,25.07.2019 13:54,I,25.07.2019
721,661103,683102,1045,25.07.2019 13:43,I,25.07.2019
722,661103,670102,830,25.07.2019 13:02,I,25.07.2019
723,661103,713007,2747,25.07.2019 12:56,I,25.07.2019
724,661103,713806,2735,25.07.2019 09:40,I,25.07.2019
725,661103,663306,704,25.07.2019 09:29,I,25.07.2019
726,661103,673007,1927,25.07.2019 09:12,I,25.07.2019
727,661103,675905,1796,24.07.2019 14:57,I,19.07.2019
728,661103,709302,2476,24.07.2019 14:42,I,19.07.2019
729,661103,680000,1333,24.07.2019 14:25,I,19.07.2019
730,661103,690002,1709,23.07.2014 09:40,I,01.11.2012
731,661103,685803,1534,23.07.2014 09:40,I,01.11.2012
732,661103,684001,1141,23.07.2014 09:40,I,01.11.2012
733,661103,677309,2011,14.08.2019 13:27,U,25.07.2019
734,661103,693405,1848,24.07.2019 14:13,I,19.07.2019
735,661103,662905,379,23.07.2014 09:40,I,01.11.2012
736,661103,664900,1062,23.07.2014 09:40,I,01.11.2012
737,661103,704402,2124,23.07.2014 09:40,I,01.11.2012
738,661103,698004,1725,23.07.2014 09:40,I,01.11.2012
739,661103,708507,2844,06.05.2021 09:42,U,06.05.2021
740,661103,711302,2600,14.08.2019 13:20,U,25.07.2019
741,661103,708009,2535,14.08.2019 12:26,U,25.07.2019
742,661103,661601,125,23.07.2014 09:40,I,01.11.2012
743,661103,666501,681,23.07.2014 09:40,I,01.11.2012
744,661103,688708,1747,23.07.2014 09:40,I,01.11.2012
745,661103,673905,1917,14.08.2019 13:11,U,25.07.2019
746,661103,704703,2247,23.07.2014 09:40,I,01.11.2012
747,661103,682203,1307,23.07.2014 09:40,I,01.11.2012
748,687008,690200,308,23.07.2014 09:40,I,01.11.2012
749,687008,709105,1171,25.07.2019 13:54,I,25.07.2019
750,687008,713007,1334,25.07.2019 12:56,I,25.07.2019
751,687008,713806,1322,25.07.2019 09:40,I,25.07.2019
752,687008,709302,1063,24.07.2019 14:42,I,19.07.2019
753,687008,690002,296,23.07.2014 09:40,I,01.11.2012
754,687008,693405,435,24.07.2019 14:13,I,19.07.2019
755,687008,698004,1833,23.07.2014 09:40,I,01.11.2012
756,687008,708507,1706,06.05.2021 09:42,U,06.05.2021
757,687008,711302,1187,14.08.2019 13:13,U,25.07.2019
758,687008,708009,1397,23.07.2014 09:40,I,01.11.2012
759,687008,688708,195,23.07.2014 09:40,I,01.11.2012
760,687008,704402,1434,23.07.2014 09:40,I,01.11.2012
761,687008,704703,1311,23.07.2014 09:40,I,01.11.2012
762,687207,690200,320,23.07.2014 09:40,I,01.11.2012
763,687207,690002,308,23.07.2014 09:40,I,01.11.2012
764,687207,688708,183,23.07.2014 09:40,I,01.11.2012
765,687207,698004,1845,23.07.2014 09:40,I,01.11.2012
766,687207,708507,1727,23.07.2014 09:40,I,01.11.2012
767,687207,711302,1202,23.07.2014 09:40,I,01.11.2012
768,687207,708009,1409,23.07.2014 09:40,I,01.11.2012
769,687207,704402,1446,23.07.2014 09:40,I,01.11.2012
770,687207,704703,1323,23.07.2014 09:40,I,01.11.2012
771,677309,690002,577,23.07.2014 09:40,I,01.11.2012
772,677309,709105,876,25.07.2019 13:54,I,25.07.2019
773,677309,683102,1241,25.07.2019 13:43,I,25.07.2019
774,677309,713007,1039,25.07.2019 12:56,I,25.07.2019
775,677309,713806,1027,25.07.2019 09:40,I,25.07.2019
776,677309,709302,984,24.07.2019 14:42,I,19.07.2019
777,677309,680000,953,24.07.2019 14:25,I,19.07.2019
778,677309,688708,1068,23.07.2014 09:40,I,01.11.2012
779,677309,684001,1284,23.07.2014 09:40,I,01.11.2012
780,677309,693405,692,24.07.2019 14:13,I,19.07.2019
781,677309,698004,960,23.07.2014 09:40,I,01.11.2012
782,677309,708507,833,06.05.2021 09:42,U,06.05.2021
783,677309,711302,1111,23.07.2014 09:40,I,01.11.2012
784,677309,708009,524,23.07.2014 09:40,I,01.11.2012
785,677309,704402,561,23.07.2014 09:40,I,01.11.2012
786,677309,704703,438,23.07.2014 09:40,I,01.11.2012
787,677309,685803,1231,23.07.2014 09:40,I,01.11.2012
788,677309,682203,1450,23.07.2014 09:40,I,01.11.2012
789,677309,690200,565,23.07.2014 09:40,I,01.11.2012
790,680000,708009,1477,24.07.2019 14:25,I,19.07.2019
791,680000,709105,1251,25.07.2019 13:54,I,25.07.2019
792,680000,683102,288,25.07.2019 13:43,I,25.07.2019
793,680000,713007,1414,25.07.2019 12:56,I,25.07.2019
794,680000,713806,1402,25.07.2019 09:40,I,25.07.2019
795,680000,709302,1143,24.07.2019 14:42,I,19.07.2019
796,680000,690200,388,24.07.2019 14:25,I,19.07.2019
797,680000,688708,867,24.07.2019 14:25,I,19.07.2019
798,680000,690002,376,24.07.2019 14:25,I,19.07.2019
799,680000,704402,1514,24.07.2019 14:25,I,19.07.2019
800,680000,711302,1267,24.07.2019 14:25,I,19.07.2019
801,680000,691607,2110,15.11.2023 06:50,U,15.11.2023
802,680000,684001,376,06.05.2021 09:44,U,06.05.2021
803,680000,682203,542,06.05.2021 09:43,U,06.05.2021
804,680000,685803,769,30.09.2021 13:21,U,07.10.2021
805,680000,693405,515,24.07.2019 14:25,I,19.07.2019
806,680000,708507,1786,06.05.2021 09:42,U,06.05.2021
807,680000,704703,1391,24.07.2019 14:25,I,19.07.2019
808,680000,698004,1913,24.07.2019 14:25,I,19.07.2019
809,698606,708009,1303,25.07.2019 14:02,I,25.07.2019
810,698606,709105,1655,25.07.2019 14:02,I,25.07.2019
811,698606,713007,1818,25.07.2019 14:02,I,25.07.2019
812,698606,713806,1806,25.07.2019 14:02,I,25.07.2019
813,698606,704402,320,25.07.2019 14:02,I,25.07.2019
814,698606,711302,1890,25.07.2019 14:02,I,25.07.2019
815,698606,709302,1763,25.07.2019 14:02,I,25.07.2019
816,698606,708507,1610,06.05.2021 09:42,U,06.05.2021
817,698606,704703,443,25.07.2019 14:02,I,25.07.2019
818,673007,708009,883,25.07.2019 09:12,I,25.07.2019
819,673007,709105,1069,25.07.2019 13:54,I,25.07.2019
820,673007,683102,882,25.07.2019 13:43,I,25.07.2019
821,673007,713007,1232,25.07.2019 12:56,I,25.07.2019
822,673007,713806,1220,25.07.2019 09:40,I,25.07.2019
823,673007,690200,206,25.07.2019 09:12,I,25.07.2019
824,673007,688708,709,25.07.2019 09:12,I,25.07.2019
825,673007,690002,218,25.07.2019 09:12,I,25.07.2019
826,673007,677309,359,25.07.2019 09:12,I,25.07.2019
827,673007,704402,920,25.07.2019 09:12,I,25.07.2019
828,673007,711302,1085,25.07.2019 09:12,I,25.07.2019
829,673007,691607,2251,15.11.2023 06:55,U,15.11.2023
830,673007,684001,925,25.07.2019 09:12,I,25.07.2019
831,673007,673905,23,25.07.2019 09:12,I,25.07.2019
832,673007,682203,1091,25.07.2019 09:12,I,25.07.2019
833,673007,685803,872,25.07.2019 09:12,I,25.07.2019
834,673007,675905,144,25.07.2019 09:12,I,25.07.2019
835,673007,709302,961,25.07.2019 09:12,I,25.07.2019
836,673007,680000,594,25.07.2019 09:12,I,25.07.2019
837,673007,693405,333,25.07.2019 09:12,I,25.07.2019
838,673007,708507,1192,06.05.2021 09:42,U,06.05.2021
839,673007,704703,797,25.07.2019 09:12,I,25.07.2019
840,673007,698004,1319,25.07.2019 09:12,I,25.07.2019
841,700007,704703,303,23.07.2014 09:40,I,01.11.2012
842,700007,709105,909,25.07.2019 13:54,I,25.07.2019
843,700007,713007,1072,25.07.2019 12:56,I,25.07.2019
844,700007,713806,1060,25.07.2019 09:40,I,25.07.2019
845,700007,709302,1017,24.07.2019 14:42,I,19.07.2019
846,700007,708507,864,06.05.2021 09:42,U,06.05.2021
847,700007,711302,1144,23.07.2014 09:40,I,01.11.2012
848,700007,708009,557,23.07.2014 09:40,I,01.11.2012
849,700007,704402,426,23.07.2014 09:40,I,01.11.2012
850,690200,709105,863,25.07.2019 13:54,I,25.07.2019
851,690200,713007,1026,25.07.2019 12:56,I,25.07.2019
852,690200,713806,1014,25.07.2019 09:40,I,25.07.2019
853,690200,709302,755,24.07.2019 14:42,I,19.07.2019
854,690200,693405,127,24.07.2019 14:13,I,19.07.2019
855,690200,698004,1525,23.07.2014 09:40,I,01.11.2012
856,690200,708507,1398,06.05.2021 09:42,U,06.05.2021
857,690200,711302,879,14.08.2019 13:24,U,25.07.2019
858,690200,708009,1089,23.07.2014 09:40,I,01.11.2012
859,690200,704402,1126,23.07.2014 09:40,I,01.11.2012
860,690200,704703,1003,23.07.2014 09:40,I,01.11.2012
861,704101,704703,653,23.07.2014 09:40,I,01.11.2012
862,704101,709105,1865,25.07.2019 13:54,I,25.07.2019
863,704101,713007,2028,25.07.2019 12:56,I,25.07.2019
864,704101,713806,2016,25.07.2019 09:40,I,25.07.2019
865,704101,709302,1973,24.07.2019 14:42,I,19.07.2019
866,704101,704402,530,23.07.2014 09:40,I,01.11.2012
867,704101,708507,1820,06.05.2021 09:42,U,06.05.2021
868,704101,711302,2100,23.07.2014 09:40,I,01.11.2012
869,704101,708009,1513,23.07.2014 09:40,I,01.11.2012
870,708403,711302,896,23.07.2014 09:40,I,01.11.2012
871,708403,708507,9,23.07.2014 09:40,I,01.11.2012
872,670102,678405,651,25.07.2019 13:02,I,25.07.2019
873,662002,668600,937,06.05.2021 09:28,U,06.05.2021
874,662002,678405,1015,06.05.2021 09:28,U,06.05.2021
875,662905,668600,906,25.07.2019 09:35,I,25.07.2019
876,662905,678405,984,23.07.2014 09:40,I,01.11.2012
877,662801,668600,827,25.07.2019 09:35,I,25.07.2019
878,662801,678405,905,19.07.2019 09:44,I,19.07.2019
879,691607,678405,1382,15.11.2023 06:42,U,15.11.2023
880,664703,668600,1557,25.07.2019 09:35,I,25.07.2019
881,664703,678405,1635,23.07.2014 09:40,I,05.06.2013
882,676700,678405,1363,25.07.2019 09:21,I,25.07.2019
883,663503,668600,1235,25.07.2019 09:35,I,25.07.2019
884,663503,678405,1313,23.07.2014 09:40,I,01.11.2012
885,707701,678405,2707,21.09.2017 11:05,I,21.12.2012
886,668600,678405,78,25.07.2019 09:35,I,25.07.2019
887,669904,678405,486,25.07.2019 13:48,I,25.07.2019
888,675905,678405,1617,24.07.2019 14:57,I,19.07.2019
889,661601,678405,730,23.07.2014 09:40,I,01.11.2012
890,666501,678405,502,23.07.2014 09:40,I,01.11.2012
891,666501,668600,424,25.07.2019 09:35,I,25.07.2019
892,664900,668600,805,25.07.2019 09:35,I,25.07.2019
893,664900,678405,883,23.07.2014 09:40,I,01.11.2012
894,663306,678405,1309,25.07.2019 09:29,I,25.07.2019
895,663306,668600,1231,25.07.2019 09:35,I,25.07.2019
896,710600,678405,1582,21.08.2017 13:49,I,15.08.2017
897,660007,678405,213,23.07.2014 09:40,I,01.11.2012
898,660007,668600,135,25.07.2019 09:35,I,25.07.2019
899,673905,678405,1501,23.07.2014 09:40,I,01.11.2012
900,673007,678405,1478,25.07.2019 09:12,I,25.07.2019
901,661103,668600,527,25.07.2019 09:35,I,25.07.2019
902,661103,678405,605,23.07.2014 09:40,I,01.11.2012
903,677309,678405,1832,14.08.2019 12:32,U,25.07.2019
904,670102,710600,931,25.07.2019 13:02,I,25.07.2019
905,670102,709406,2076,25.07.2019 13:02,I,25.07.2019
906,670102,685707,1410,25.07.2019 13:02,I,25.07.2019
907,670102,697509,1859,25.07.2019 13:02,I,25.07.2019
908,670102,679107,1196,25.07.2019 13:02,I,25.07.2019
909,670102,707701,2056,25.07.2019 13:02,I,25.07.2019
910,685803,709406,1426,18.07.2017 12:39,U,15.07.2017
911,685803,697509,1209,23.07.2014 09:40,I,01.11.2012
912,662801,710600,1595,19.07.2019 09:44,I,19.07.2019
913,662801,709406,2740,19.07.2019 09:44,I,19.07.2019
914,662801,685707,1664,19.07.2019 09:44,I,19.07.2019
915,662801,697509,2523,19.07.2019 09:44,I,19.07.2019
916,662801,679107,1450,19.07.2019 09:44,I,19.07.2019
917,662801,707701,2720,19.07.2019 09:44,I,19.07.2019
918,662801,663503,408,19.07.2019 09:44,I,19.07.2019
919,691607,707701,3197,15.11.2023 06:44,U,15.11.2023
920,691607,697509,3000,15.11.2023 06:57,U,15.11.2023
921,691607,679107,1927,15.11.2023 06:49,U,15.11.2023
922,691607,709406,3217,15.11.2023 07:06,U,15.11.2023
923,691607,685707,2141,15.11.2023 06:51,U,15.11.2023
924,691607,660007,1169,15.11.2023 06:55,U,15.11.2023
925,691607,663503,77,15.11.2023 06:41,U,15.11.2023
926,662002,710600,2171,06.05.2021 09:28,U,06.05.2021
927,662002,707701,3296,06.05.2021 09:28,U,06.05.2021
928,662002,679107,1560,06.05.2021 09:28,U,06.05.2021
929,662002,709406,2891,06.05.2021 09:28,U,06.05.2021
930,662002,663503,1118,06.05.2021 09:28,U,06.05.2021
931,662002,697509,2674,06.05.2021 09:28,U,06.05.2021
932,662002,685707,1774,06.05.2021 09:28,U,06.05.2021
933,662905,679107,1529,23.07.2014 09:40,I,01.11.2012
934,662905,709406,2819,18.07.2017 12:39,U,15.07.2017
935,662905,697509,2602,14.08.2019 13:16,U,25.07.2019
936,662905,663503,487,23.07.2014 09:40,I,01.11.2012
937,662905,685707,1743,23.07.2014 09:40,I,01.11.2012
938,664703,707701,3450,14.08.2019 09:26,U,26.07.2019
939,664703,697509,3253,14.08.2019 12:44,U,25.07.2019
940,664703,679107,2180,23.07.2014 09:40,I,05.06.2013
941,664703,709406,3470,18.07.2017 12:39,U,15.07.2017
942,664703,685707,2394,23.07.2014 09:40,I,05.06.2013
943,664703,660007,1422,23.07.2014 09:40,I,05.06.2013
944,664703,663503,330,23.07.2014 09:40,I,05.06.2013
945,704703,709406,1328,23.07.2014 09:40,I,01.11.2012
946,709105,710600,1770,25.07.2019 13:54,I,25.07.2019
947,709105,709406,116,25.07.2019 13:54,I,25.07.2019
948,676700,710600,1465,25.07.2019 09:21,I,25.07.2019
949,676700,709406,1364,25.07.2019 09:21,I,25.07.2019
950,676700,685707,1100,25.07.2019 09:21,I,25.07.2019
951,676700,697509,1147,25.07.2019 09:21,I,25.07.2019
952,676700,679107,1385,25.07.2019 09:21,I,25.07.2019
953,676700,707701,1546,25.07.2019 09:21,I,25.07.2019
954,708507,710600,1725,06.05.2021 09:42,U,06.05.2021
955,708507,709406,786,23.07.2014 09:40,I,01.11.2012
956,663503,709406,3148,02.08.2017 10:38,U,01.08.2017
957,663503,697509,2931,14.08.2019 12:14,U,25.07.2019
958,663503,685707,2072,23.07.2014 09:40,I,01.11.2012
959,684001,709406,1479,18.07.2017 12:39,U,15.07.2017
960,684001,697509,1262,23.07.2014 09:40,I,01.11.2012
961,684001,685707,223,23.07.2014 09:40,I,01.11.2012
962,685707,709406,1256,18.07.2017 12:39,U,15.07.2017
963,685707,697509,1039,23.07.2014 09:40,I,01.11.2012
964,707701,697509,1767,21.09.2017 11:05,I,21.12.2012
965,707701,679107,2423,21.09.2017 11:05,I,21.12.2012
966,707701,709406,1275,21.09.2017 11:05,I,21.12.2012
967,707701,685707,2138,21.09.2017 11:05,I,21.12.2012
968,707701,660007,2494,21.09.2017 11:05,I,21.12.2012
969,707701,663503,3128,14.08.2019 09:55,U,25.07.2019
970,708009,709406,468,23.07.2014 09:40,I,01.11.2012
971,663503,679107,1858,23.07.2014 09:40,I,01.11.2012
972,668600,710600,1504,25.07.2019 09:35,I,25.07.2019
973,668600,709406,1954,25.07.2019 09:35,I,25.07.2019
974,668600,685707,837,25.07.2019 09:35,I,25.07.2019
975,668600,697509,1737,25.07.2019 09:35,I,25.07.2019
976,668600,679107,623,25.07.2019 09:35,I,25.07.2019
977,668600,707701,2629,25.07.2019 09:35,I,25.07.2019
978,669904,710600,1096,25.07.2019 13:48,I,25.07.2019
979,669904,709406,2241,25.07.2019 13:48,I,25.07.2019
980,669904,685707,1245,25.07.2019 13:48,I,25.07.2019
981,669904,697509,2024,25.07.2019 13:48,I,25.07.2019
982,669904,679107,1031,25.07.2019 13:48,I,25.07.2019
983,669904,707701,2221,25.07.2019 13:48,I,25.07.2019
984,694605,697509,249,24.07.2019 14:07,I,19.07.2019
985,694605,707701,1728,24.07.2019 14:07,I,19.07.2019
986,694605,710600,1855,24.07.2019 14:07,I,19.07.2019
987,694605,709406,466,24.07.2019 14:07,I,19.07.2019
988,678405,679107,701,23.07.2014 09:40,I,01.11.2012
989,678405,709406,2032,18.07.2017 12:39,U,15.07.2017
990,678405,697509,1815,23.07.2014 09:40,I,01.11.2012
991,678405,685707,915,23.07.2014 09:40,I,01.11.2012
992,709302,710600,1878,24.07.2019 14:42,I,19.07.2019
993,709302,709406,8,24.07.2019 14:42,I,19.07.2019
994,675905,710600,1211,24.07.2019 14:57,I,19.07.2019
995,675905,709406,1110,24.07.2019 14:57,I,19.07.2019
996,675905,685707,846,24.07.2019 14:57,I,19.07.2019
997,675905,697509,893,24.07.2019 14:57,I,19.07.2019
998,675905,679107,1131,24.07.2019 14:57,I,19.07.2019
999,675905,707701,1292,24.07.2019 14:57,I,19.07.2019
1000,683102,710600,2022,25.07.2019 13:43,I,25.07.2019
1001,683102,709406,1436,25.07.2019 13:43,I,25.07.2019
1002,683102,685707,319,25.07.2019 13:43,I,25.07.2019
1003,683102,697509,1219,25.07.2019 13:43,I,25.07.2019
1004,683102,707701,2318,25.07.2019 13:43,I,25.07.2019
1005,698004,709406,1850,23.07.2014 09:40,I,01.11.2012
1006,706304,710600,318,25.07.2019 13:37,I,25.07.2019
1007,706304,709406,1568,25.07.2019 13:37,I,25.07.2019
1008,706304,707701,879,25.07.2019 13:37,I,25.07.2019
1009,688708,709406,1263,18.07.2017 12:39,U,15.07.2017
1010,688708,697509,1046,23.07.2014 09:40,I,01.11.2012
1011,682203,709406,1645,18.07.2017 12:39,U,15.07.2017
1012,682203,697509,1428,23.07.2014 09:40,I,01.11.2012
1013,682203,685707,389,23.07.2014 09:40,I,01.11.2012
1014,696102,697509,117,23.07.2014 09:40,I,01.11.2012
1015,696102,707701,1644,06.05.2021 09:51,U,06.05.2021
1016,696102,709406,382,06.05.2021 09:51,U,06.05.2021
1017,690002,709406,772,18.07.2017 12:39,U,15.07.2017
1018,690002,697509,555,23.07.2014 09:40,I,01.11.2012
1019,697509,707701,1761,06.05.2021 09:48,U,06.05.2021
1020,697509,709406,499,06.05.2021 09:48,U,06.05.2021
1021,661601,679107,1275,23.07.2014 09:40,I,01.11.2012
1022,661601,709406,2606,18.07.2017 12:39,U,15.07.2017
1023,661601,663503,833,23.07.2014 09:40,I,01.11.2012
1024,661601,697509,2389,23.07.2014 09:40,I,01.11.2012
1025,661601,685707,1489,23.07.2014 09:40,I,01.11.2012
1026,666501,679107,1047,23.07.2014 09:40,I,01.11.2012
1027,666501,709406,2378,18.07.2017 12:39,U,15.07.2017
1028,666501,697509,2161,23.07.2014 09:40,I,01.11.2012
1029,666501,685707,1261,23.07.2014 09:40,I,01.11.2012
1030,704402,709406,1451,23.07.2014 09:40,I,01.11.2012
1031,660007,679107,758,23.07.2014 09:40,I,01.11.2012
1032,660007,709406,2089,18.07.2017 12:39,U,15.07.2017
1033,660007,663503,1100,23.07.2014 09:40,I,01.11.2012
1034,660007,697509,1872,23.07.2014 09:40,I,01.11.2012
1035,660007,685707,972,23.07.2014 09:40,I,01.11.2012
1036,673905,679107,1010,23.07.2014 09:40,I,01.11.2012
1037,673905,709406,989,18.07.2017 12:39,U,15.07.2017
1038,673905,697509,772,23.07.2014 09:40,I,01.11.2012
1039,673905,685707,725,23.07.2014 09:40,I,01.11.2012
1040,664900,679107,1428,23.07.2014 09:40,I,01.11.2012
1041,664900,709406,2759,18.07.2017 12:39,U,15.07.2017
1042,664900,697509,2542,23.07.2014 09:40,I,01.11.2012
1043,664900,685707,1642,23.07.2014 09:40,I,01.11.2012
1044,693405,697509,416,24.07.2019 14:13,I,19.07.2019
1045,693405,707701,1769,24.07.2019 14:13,I,19.07.2019
1046,693405,710600,1688,24.07.2019 14:13,I,19.07.2019
1047,693405,709406,633,24.07.2019 14:13,I,19.07.2019
1048,700505,710600,904,14.08.2019 08:52,I,26.07.2019
1049,700505,709406,982,14.08.2019 08:52,I,26.07.2019
1050,700505,707701,293,14.08.2019 08:52,I,26.07.2019
1051,661103,679107,1150,23.07.2014 09:40,I,01.11.2012
1052,661103,709406,2481,18.07.2017 12:39,U,15.07.2017
1053,661103,697509,2264,23.07.2014 09:40,I,01.11.2012
1054,661103,663503,708,23.07.2014 09:40,I,01.11.2012
1055,661103,685707,1364,23.07.2014 09:40,I,01.11.2012
1056,687008,709406,1068,18.07.2017 12:39,U,15.07.2017
1057,687008,697509,851,23.07.2014 09:40,I,01.11.2012
1058,687207,709406,1080,18.07.2017 12:39,U,15.07.2017
1059,687207,697509,863,23.07.2014 09:40,I,01.11.2012
1060,677309,679107,1346,23.07.2014 09:40,I,01.11.2012
1061,677309,709406,992,23.07.2014 09:40,I,01.11.2012
1062,677309,697509,1108,23.07.2014 09:40,I,01.11.2012
1063,677309,685707,1061,23.07.2014 09:40,I,01.11.2012
1064,680000,710600,1949,24.07.2019 14:25,I,19.07.2019
1065,680000,709406,1148,24.07.2019 14:25,I,19.07.2019
1066,680000,685707,599,30.09.2021 13:23,U,07.10.2021
1067,680000,697509,931,24.07.2019 14:25,I,19.07.2019
1068,680000,707701,2030,24.07.2019 14:25,I,19.07.2019
1069,698606,710600,115,25.07.2019 14:02,I,25.07.2019
1070,698606,709406,1771,25.07.2019 14:02,I,25.07.2019
1071,698606,707701,1082,25.07.2019 14:02,I,25.07.2019
1072,663306,679107,1854,25.07.2019 09:29,I,25.07.2019
1073,663306,707701,3124,25.07.2019 09:29,I,25.07.2019
1074,663306,663503,4,25.07.2019 09:29,I,25.07.2019
1075,663306,710600,1999,25.07.2019 09:29,I,25.07.2019
1076,663306,709406,3144,25.07.2019 09:29,I,25.07.2019
1077,663306,685707,2068,25.07.2019 09:29,I,25.07.2019
1078,663306,697509,2927,25.07.2019 09:29,I,25.07.2019
1079,679107,709406,1541,18.07.2017 12:39,U,15.07.2017
1080,679107,697509,1324,23.07.2014 09:40,I,01.11.2012
1081,679107,685707,424,23.07.2014 09:40,I,01.11.2012
1082,710600,707701,1197,21.08.2017 13:49,I,15.08.2017
1083,710600,697509,2104,21.08.2017 13:49,I,15.08.2017
1084,710600,679107,2127,21.08.2017 13:49,I,15.08.2017
1085,710600,709406,1886,21.08.2017 13:49,I,15.08.2017
1086,710600,685707,2057,21.08.2017 13:49,I,15.08.2017
1087,710600,660007,1369,21.08.2017 13:49,I,15.08.2017
1088,710600,663503,2003,21.08.2017 13:49,I,15.08.2017
1089,690200,709406,760,18.07.2017 12:39,U,15.07.2017
1090,690200,697509,543,23.07.2014 09:40,I,01.11.2012
1091,700007,709406,1025,23.07.2014 09:40,I,01.11.2012
1092,673007,710600,1355,25.07.2019 09:12,I,25.07.2019
1093,673007,709406,966,25.07.2019 09:12,I,25.07.2019
1094,673007,685707,702,25.07.2019 09:12,I,25.07.2019
1095,673007,697509,749,25.07.2019 09:12,I,25.07.2019
1096,673007,679107,987,25.07.2019 09:12,I,25.07.2019
1097,673007,707701,1436,25.07.2019 09:12,I,25.07.2019
1098,704101,709406,1981,23.07.2014 09:40,I,01.11.2012
1099,708403,709406,777,23.07.2014 09:40,I,01.11.2012
1100,670102,694605,1610,25.07.2019 13:02,I,25.07.2019
1101,670102,700007,1720,25.07.2019 13:02,I,25.07.2019
1102,685803,694605,960,24.07.2019 14:07,I,19.07.2019
1103,685803,700007,1972,23.07.2014 09:40,I,01.11.2012
1104,662801,669904,499,25.07.2019 13:48,I,25.07.2019
1105,662801,694605,2274,24.07.2019 14:07,I,19.07.2019
1106,662801,700007,2384,19.07.2019 09:44,I,19.07.2019
1107,691607,694605,2751,15.11.2023 06:48,U,15.11.2023
1108,691607,662002,1187,15.11.2023 06:47,U,15.11.2023
1109,691607,700007,2861,15.11.2023 06:43,U,15.11.2023
1110,662002,669904,1075,06.05.2021 09:28,U,06.05.2021
1111,662002,694605,2425,06.05.2021 09:28,U,06.05.2021
1112,662002,700007,2960,06.05.2021 09:28,U,06.05.2021
1113,662905,669904,578,25.07.2019 13:48,I,25.07.2019
1114,662905,700007,2463,14.08.2019 12:35,U,25.07.2019
1115,662905,694605,2353,24.07.2019 14:07,I,19.07.2019
1116,676700,694605,898,25.07.2019 09:21,I,25.07.2019
1117,676700,700007,1210,25.07.2019 09:21,I,25.07.2019
1118,664703,669904,1229,25.07.2019 13:48,I,25.07.2019
1119,664703,694605,3004,24.07.2019 14:07,I,19.07.2019
1120,664703,662002,1447,23.07.2014 09:40,I,05.06.2013
1121,664703,700007,3114,14.08.2019 12:34,U,25.07.2019
1122,668600,669904,408,25.07.2019 13:48,I,25.07.2019
1123,668600,694605,1488,25.07.2019 09:35,I,25.07.2019
1124,668600,700007,2293,25.07.2019 09:35,I,25.07.2019
1125,669904,694605,1775,25.07.2019 13:48,I,25.07.2019
1126,669904,700007,1885,25.07.2019 13:48,I,25.07.2019
1127,694605,700007,1478,24.07.2019 14:07,I,19.07.2019
1128,678405,694605,1566,24.07.2019 14:07,I,19.07.2019
1129,678405,700007,2371,23.07.2014 09:40,I,01.11.2012
1130,675905,694605,644,24.07.2019 14:57,I,19.07.2019
1131,675905,700007,956,24.07.2019 14:57,I,19.07.2019
1132,683102,694605,970,25.07.2019 13:43,I,25.07.2019
1133,683102,700007,1982,25.07.2019 13:43,I,25.07.2019
1134,698004,700007,825,23.07.2014 09:40,I,01.11.2012
1135,663503,669904,907,25.07.2019 13:48,I,25.07.2019
1136,663503,694605,2682,24.07.2019 14:07,I,19.07.2019
1137,663503,700007,2792,14.08.2019 09:53,U,25.07.2019
1138,684001,694605,1013,24.07.2019 14:07,I,19.07.2019
1139,684001,700007,2025,23.07.2014 09:40,I,01.11.2012
1140,685707,700007,1802,23.07.2014 09:40,I,01.11.2012
1141,685707,694605,790,24.07.2019 14:07,I,19.07.2019
